no_Trans;no_item;item;kategori;ket;tgl;harga;qty;jumlah;diskon;total
199497;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);28/11/2023;483000;2;966000;PROMO;290000
199498;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;28/11/2023;74000;2;148000;40%;88800
199498;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;28/11/2023;40000;2;80000;40%;48000
199498;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;28/11/2023;25000;1;25000;40%;15000
199498;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;28/11/2023;139000;5;695000;30%;486500
199499;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;29/11/2023;74000;4;296000;50%;148000
199499;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;29/11/2023;604000;1;604000;50%;302000
199499;mic 2012084;grendel pintu AA;grendel pintu;grendel pintu;29/11/2023;131500;2;263000;50%;131500
199499;mic 1900101;gembok;gembok;gembok;29/11/2023;509500;1;509500;40%;305700
199499;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;29/11/2023;73000;1;73000;40%;43800
199499;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);29/11/2023;342000;1;342000;50%;171000
199499;mic 1500052;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;30/11/2023;140000;3;420000;40%;252000
199500;mic 2012083;grendel pintu AA;grendel pintu;grendel pintu;30/11/2023;90500;2;181000;30%;126700
199501;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;30/11/2023;93500;4;374000;40%;224400
199501;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;30/11/2023;74000;6;444000;40%;266400
199501;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;30/11/2023;604000;1;604000;50%;302000
199502;mic 1500060;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;30/11/2023;202000;5;1010000;40%;606000
199502;mic 1900101;gembok;gembok;gembok;30/11/2023;509500;1;509500;40%;305700
199502;mic 2012084;grendel pintu AA;grendel pintu;grendel pintu;30/11/2023;131500;1;131500;40%;78900
199502;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;30/11/2023;74000;1;74000;40%;44400
199502;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;30/11/2023;604000;1;604000;40%;362400
198901;mic 2012084;grendel pintu AA;grendel pintu;grendel pintu;30/11/2023;131500;2;263000;30%;184100
198902;mic 1900101;gembok;gembok;gembok;02/12/2023;509500;2;1019000;40%;611400
198903;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;02/12/2023;129000;1;129000;40%;77400
198903;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;02/12/2023;222000;1;222000;40%;133200
198903;mic 0700001;escushion 1;escushion;escushion/cover anak kunci;02/12/2023;86500;1;86500;30%;60550
198903;mic 2012084;grendel pintu AA;grendel pintu;grendel pintu;02/12/2023;131500;1;131500;30%;92050
198903;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;02/12/2023;40000;2;80000;30%;56000
198904;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;02/12/2023;93500;6;561000;40%;336600
198904;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;02/12/2023;74000;13;962000;30%;673400
198905;mic 1500060;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;03/12/2023;202000;1;202000;40%;121200
198906;mic 0500020;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);04/12/2023;522500;1;522500;50%;261250
198907;mic 3000101;roda rel pintu geser;roda rel pintu geser;roda rel pintu geser;04/12/2023;318000;1;318000;40%;190800
198908;mic 1500057;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;05/12/2023;238000;1;238000;40%;142800
198908;mic 1500052;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;05/12/2023;140000;1;140000;40%;84000
198908;mic 0500020;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);05/12/2023;522500;1;522500;50%;261250
198908;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;05/12/2023;139000;1;139000;30%;97300
198908;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;05/12/2023;56500;1;56500;30%;39550
198908;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;05/12/2023;40000;1;40000;30%;28000
198909;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);05/12/2023;483000;1;483000;PROMO;145000
198910;mic 0601349;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;05/12/2023;471000;1;471000;40%;282600
198911;mic 2012027;grendel pintu AC;grendel pintu;grendel pintu kembar;07/12/2023;82500;2;165000;30%;115500
198911;mic 2012095;grendel pintu AA;grendel pintu;grendel pintu;07/12/2023;54500;1;54500;30%;38150
198912;mic 2012027;grendel pintu AC;grendel pintu;grendel pintu kembar;09/12/2023;82500;1;82500;30%;57750
198913;mic 0500028;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);10/12/2023;483000;1;483000;PROMO;145000
198913;mic 0700001;escushion 1;escushion;escushion/cover anak kunci;10/12/2023;86500;1;86500;30%;60550
198914;mic 2014035;pengganjal pintu;pengganjal pintu;pengganjal pintu;11/12/2023;86500;2;173000;30%;121100
198915;mic 2012027;grendel pintu AC;grendel pintu;grendel pintu kembar;11/12/2023;82500;1;82500;30%;57750
198916;mic 0600020;gagang lemari 1;gagang lemari;gagang lemari;12/12/2023;164500;2;329000;40%;197400
198917;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);13/12/2023;283000;2;566000;40%;339600
198917;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);13/12/2023;483000;1;483000;PROMO;145000
198918;mic 2012095;grendel pintu AA;grendel pintu;grendel pintu;13/12/2023;54500;1;54500;30%;38150
198919;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;14/12/2023;25000;1;25000;30%;17500
198919;mic 1900002;gembok;gembok;gembok;14/12/2023;211000;1;211000;40%;126600
198920;mic 0600450;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;16/12/2023;710000;2;1420000;40%;852600
198920;mic 0101033;lockcase 2;lockcase;lockcase/body kunci;16/12/2023;533000;1;533000;40%;319800
198920;mic 0103001;anak kunci;anak kunci;anak kunci/cylinder;16/12/2023;230000;1;230000;40%;138000
198920;mic 2012106;grendel pintu AD;grendel pintu;grendel tanam pintu kembar;16/12/2023;261000;2;522000;30%;365400
198920;mic 0702006;escushion 1;escushion;escushion/cover anak kunci;16/12/2023;164500;1;164500;30%;115150
198921;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;16/12/2023;40000;1;40000;30%;28000
198922;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;16/12/2023;25000;1;25000;40%;15000
198922;mic 1900202;gembok;gembok;gembok angka;16/12/2023;57500;1;57500;50%;28750
198923;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;17/12/2023;73000;1;73000;40%;43800
198923;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);17/12/2023;342000;1;342000;50%;171000
198924;mic 3000101;roda rel pintu geser;roda rel pintu geser;roda rel pintu geser;17/12/2023;318000;1;318000;40%;190800
198925;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;18/12/2023;40000;1;40000;30%;28000
198926;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;18/12/2023;604000;1;604000;PROMO;229000
198927;mic 2012021;grendel pintu AC;grendel pintu;grendel pintu kembar;19/12/2023;56500;1;56500;30%;39550
198928;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;19/12/2023;40000;1;40000;30%;28000
198929;mic 2012083;grendel pintu AA;grendel pintu;grendel pintu;20/12/2023;90500;2;181000;30%;126700
198930;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);21/12/2023;483000;1;483000;PROMO;145000
198931;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;23/12/2023;159000;1;159000;40%;95400
198931;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);23/12/2023;483000;1;483000;PROMO;145000
198932;mic 0500021;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);23/12/2023;522500;1;522500;50%;261250
198933;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;23/12/2023;25000;1;25000;30%;17500
198933;mic 1900250;gembok;gembok;gembok;23/12/2023;99500;1;99500;40%;59700
198934;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);24/12/2023;483000;1;483000;PROMO;145000
198934;mic 2006009;grendel jendela K;grendel jendela;grendel kodok khusus jendela;24/12/2023;90500;2;181000;30%;126700
198935;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;24/12/2023;73000;1;73000;40%;43800
198935;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);24/12/2023;342000;1;342000;50%;171000
198936;mic 1510205;engsel pintu;engsel pintu;engsel pintu;25/12/2023;81500;8;652000;40%;391200
198937;mic 0702005;escushion 1;escushion;escushion/cover anak kunci;25/12/2023;164500;1;164500;30%;115150
198938;mic 0104003;anak kunci;anak kunci;anak kunci/cylinder;27/12/2023;232000;1;232000;40%;139200
198939;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);28/12/2023;483000;1;483000;PROMO;145000
198940;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;28/12/2023;222000;1;222000;40%;133200
198940;mic 0702015;escushion 2;escushion;escushion/cover anak kunci;28/12/2023;15500;1;15500;30%;10850
198941;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);30/12/2023;342000;3;1026000;50%;513000
198942;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;30/12/2023;40000;4;160000;30%;112000
198943;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;30/12/2023;40000;5;200000;30%;140000
198944;mic 2012101;grendel pintu AB;grendel pintu;grendel pintu;30/12/2023;111500;2;223000;30%;163100
198944;mic 0601348;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;30/12/2023;422000;2;844000;40%;506400
198944;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;30/12/2023;222000;1;222000;40%;133200
198944;mic 0700002;escushion 1;escushion;escushion/cover anak kunci;30/12/2023;115500;1;115500;30%;80850
198945;mic 2012101;grendel pintu AB;grendel pintu;grendel pintu;30/12/2023;111500;4;446000;30%;326200
198945;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;30/12/2023;222000;2;444000;30%;310800
198945;mic 0600450;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;30/12/2023;710000;4;2840000;40%;1705200
198945;mic 0702005;escushion 1;escushion;escushion/cover anak kunci;30/12/2023;164500;2;329000;30%;230300
198946;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;31/12/2023;73000;1;73000;40%;43800
198946;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);31/12/2023;342000;1;342000;50%;171000
198946;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;31/12/2023;159000;3;477000;40%;286200
198946;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);31/12/2023;483000;1;483000;PROMO;145000
198947;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);31/12/2023;483000;1;483000;PROMO;145000
198948;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);31/12/2023;483000;1;483000;PROMO;145000
198802;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);02/01/2024;342000;2;684000;50%;342000
198803;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;03/01/2024;40000;5;200000;30%;140000
198804;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;04/01/2024;73000;3;219000;40%;131400
198804;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);04/01/2024;342000;3;1026000;50%;513000
198805;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;04/01/2024;40000;1;40000;30%;28000
198806;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;07/01/2024;73000;1;73000;40%;43800
198806;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);07/01/2024;342000;1;342000;50%;171000
198807;mic 2009040;handle tanam p.geser 1;handle tanam pintu geser;handle tanam pintu geser;08/01/2024;39000;2;78000;30%;54600
198808;mic 2012101;grendel pintu AB;grendel pintu;grendel pintu;09/01/2024;111500;1;111500;30%;78050
198808;mic 2012102;grendel pintu AB;grendel pintu;grendel pintu;09/01/2024;187000;1;187000;30%;130900
198808;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;09/01/2024;40000;2;80000;30%;56000
198808;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;09/01/2024;73000;2;146000;40%;87600
198808;mic 1500060;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;09/01/2024;202000;2;404000;40%;242400
198808;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;09/01/2024;93500;1;93500;30%;65450
198808;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;09/01/2024;604000;1;604000;PROMO;229000
198809;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);10/01/2024;483000;1;483000;PROMO;145000
198810;mic 0600515;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;11/01/2024;471000;2;942000;40%;565200
198810;mic 0600506;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;11/01/2024;471000;2;942000;40%;565200
198811;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);13/01/2024;483000;1;483000;PROMO;145000
198812;mic 0600508;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;13/01/2024;471000;2;942000;40%;565200
198814;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);14/01/2024;342000;2;684000;50%;342000
198814;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;14/01/2024;40000;4;160000;30%;112000
198814;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;14/01/2024;74000;1;74000;40%;44400
198814;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;14/01/2024;93500;1;93500;30%;65450
198815;mic 0500026;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);14/01/2024;483000;2;966000;PROMO;229000
198816;mic 0600032;gagang pintu D;gagang pintu;gagang pintu;15/01/2024;870500;1;870500;40%;522300
198817;mic 2012024;grendel pintu AC;grendel pintu;grendel pintu kembar;15/01/2024;132000;1;132000;30%;92400
198818;mic 0101062;lockcase 2;lockcase;lockcase/body kunci;18/01/2024;135500;1;135500;40%;81300
198818;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;18/01/2024;111000;1;111000;40%;66600
198819;mic 0600409;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;18/01/2024;1140000;2;2280000;40%;1368000
198820;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);19/01/2024;483000;1;483000;PROMO;145000
198821;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);20/01/2024;483000;1;483000;PROMO;145000
198822;mic 0600505;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;20/01/2024;471000;1;471000;40%;282600
198822;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;20/01/2024;111000;1;111000;50%;55500
198822;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;20/01/2024;222000;1;222000;40%;133200
198822;mic 0702005;escushion 1;escushion;escushion/cover anak kunci;20/01/2024;164500;1;164500;30%;115150
198823;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;20/01/2024;74000;1;74000;40%;44400
198823;mic 1500057;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;20/01/2024;238000;2;476000;40%;285600
198824;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;20/01/2024;604000;5;3020000;40%;1035000
198825;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);21/01/2024;483000;1;483000;PROMO;145000
198826;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);22/01/2024;283000;1;283000;40%;169800
198827;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;23/01/2024;40000;1;40000;30%;28000
198828;mic 2009040;handle tanam p.geser 1;handle tanam pintu geser;handle tanam pintu geser;24/01/2024;39000;6;234000;30%;982800
198829;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;25/01/2024;40000;1;40000;30%;28000
198830;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);26/01/2024;342000;1;342000;50%;171000
198831;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;26/01/2024;56500;1;56500;30%;39550
198832;mic 2009040;handle tanam p.geser 1;handle tanam pintu geser;handle tanam pintu geser;29/01/2024;39000;2;78000;30%;109200
198833;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;30/01/2024;40000;2;80000;30%;112000
198834;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;30/01/2024;40000;1;40000;30%;28000
198835;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;30/01/2024;40000;2;80000;30%;79100
198836;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);30/01/2024;483000;1;483000;PROMO;145000
198837;mic 3000101;roda rel pintu geser;roda rel pintu geser;roda rel pintu geser;31/01/2024;318000;1;318000;40%;190800
198837;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;31/01/2024;93500;1;93500;40%;56100
198837;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;31/01/2024;74000;1;74000;40%;44400
198837;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;31/01/2024;73000;1;73000;40%;43800
198837;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);31/01/2024;342000;1;342000;50%;171000
198838;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;01/02/2024;40000;11;440000;30%;308000
198839;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);02/02/2024;483000;1;483000;PROMO;145000
198839;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);02/02/2024;483000;2;966000;PROMO;290000
198840;mic 1100005;door  closer;door  closer;door  closer/otomatis pintu;03/02/2024;455500;1;455500;PROMO;199000
198841;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);03/02/2024;483000;1;483000;PROMO;145000
198842;mic 0600511;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;03/02/2024;471000;2;942000;40%;565200
198843;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;03/02/2024;93500;1;93500;40%;56100
198843;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;03/02/2024;74000;1;74000;40%;44400
198843;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;03/02/2024;73000;1;73000;40%;43800
198844;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);05/02/2024;483000;1;483000;50%;171000
198845;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;05/02/2024;66000;8;528000;40%;316800
198846;mic 0600055;gagang pintu D;gagang pintu;gagang pintu;08/02/2024;721500;1;721500;40%;432900
198847;mic 0600055;gagang pintu D;gagang pintu;gagang pintu;09/02/2024;721500;1;721500;40%;432900
198848;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);10/02/2024;342000;1;342000;50%;171000
198849;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;11/02/2024;40000;1;40000;40%;24000
185501;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);12/02/2024;483000;1;483000;PROMO;145000
185502;mic 0600055;gagang pintu D;gagang pintu;gagang pintu;13/02/2024;721500;1;721500;40%;432900
185503;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);13/02/2024;342000;1;342000;50%;171000
185504;mic 0506101;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);14/02/2024;342000;1;342000;50%;171000
185505;mic 2012020;grendel pintu AC;grendel pintu;grendel pintu kembar;14/02/2024;40000;12;480000;30%;336000
185506;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);14/02/2024;342000;1;342000;50%;171000
185507;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;14/02/2024;222000;1;222000;40%;133200
185507;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;14/02/2024;40000;2;80000;30%;56000
185508;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);17/02/2024;483000;1;483000;PROMO;145000
185509;mic 2007007;tarikan lemari/laci;tarikan lemari/laci;tarikan lemari/laci;18/02/2024;119500;1;119500;30%;83650
185510;mic 0500021;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);19/02/2024;522500;1;522500;50%;261250
185511;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);20/02/2024;342000;1;342000;50%;171000
185512;mic 2010108;gantungan baju;gantungan baju;gantungan baju;21/02/2024;207000;3;621000;30%;434700
185512;mic 2010085;gantungan baju;gantungan baju;gantungan baju;21/02/2024;234500;1;234500;30%;164150
185513;mic 2014041;pengganjal pintu;pengganjal pintu;pengganjal pintu;23/02/2024;109500;2;219000;30%;153300
185514;mic 0101080;lockcase 2;lockcase;lockcase/body kunci;23/02/2024;148000;1;148000;40%;88800
185515;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);24/02/2024;483000;1;483000;PROMO;145000
185516;mic 0600500;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;25/02/2024;526500;2;1053000;40%;631800
185517;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;25/02/2024;56500;2;113000;30%;79100
185517;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;25/02/2024;40000;1;40000;30%;28000
185518;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);25/02/2024;342000;3;1026000;50%;513000
185518;mic 0400510;gagang pintu C;gagang pintu;gagang pintu;25/02/2024;604000;1;604000;PROMO;229000
185519;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);26/02/2024;342000;1;342000;50%;171000
185520;mic 0600510;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;28/02/2024;471000;1;471000;40%;282600
185521;mic 0600511;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;28/02/2024;471000;1;471000;40%;282600
185522;mic 0506101;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);01/03/2024;342000;1;342000;50%;171000
185523;mic 1100006;door  closer;door  closer;door  closer/otomatis pintu;01/03/2024;455000;1;455000;PROMO;199000
185524;mic 0506105;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);02/03/2024;283000;2;566000;40%;339600
185524;mic 1500057;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;02/03/2024;238000;1;238000;40%;142800
185524;mic 1500061;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;02/03/2024;345500;1;345500;40%;207300
185525;mic 1500060;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;02/03/2024;202000;1;202000;40%;121200
185525;mic 0500028;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);02/03/2024;483000;1;483000;PROMO;145000
185526;mic 2012065;grendel pintu AA;grendel pintu;grendel pintu;02/03/2024;50000;1;50000;30%;35000
185527;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);02/03/2024;342000;2;684000;50%;342000
185528;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;02/03/2024;40000;2;80000;30%;56000
185529;mic 0101033;lockcase 2;lockcase;lockcase/body kunci;02/03/2024;533000;1;533000;40%;319800
185530;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;03/03/2024;40000;1;40000;30%;28000
185531;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;04/03/2024;74000;3;222000;40%;133200
185531;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;04/03/2024;93500;2;187000;40%;112200
185531;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;04/03/2024;66000;3;198000;40%;118800
185531;mic 1500052;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;04/03/2024;140000;2;280000;40%;168000
185532;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;04/03/2024;139000;1;139000;40%;83400
185532;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;04/03/2024;74000;2;148000;30%;103600
185533;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;04/03/2024;66000;1;66000;40%;39600
185533;mic 0500025;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);04/03/2024;483000;1;483000;PROMO;145000
185534;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);04/03/2024;342000;1;342000;50%;171000
185535;mic 1100005;door  closer;door  closer;door  closer/otomatis pintu;04/03/2024;455500;1;455500;PROMO;199000
185536;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;04/03/2024;40000;1;40000;30%;28000
185537;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;04/03/2024;201500;1;201500;PROMO;81000
185538;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);04/03/2024;283000;2;566000;40%;339600
185539;mic 2014041;pengganjal pintu;pengganjal pintu;pengganjal pintu;04/03/2024;109500;1;109500;30%;76650
185540;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;06/06/2024;40000;5;200000;30%;140000
185541;mic 0500027;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);08/03/2024;483000;1;483000;PROMO;145000
185542;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);08/03/2024;283000;1;283000;40%;169800
185543;mic 0506105;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);09/03/2024;283000;11;3113000;40%;1867800
185543;mic 1500056;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;09/03/2024;159000;11;1749000;40%;1049400
185543;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;09/03/2024;40000;11;440000;30%;308000
185543;mic 2001230;hak angin C;hak angin;hak angin/centolan jendela;09/03/2024;93500;11;1028500;30%;719950
185543;mic 2006010;grendel jendela K;grendel jendela;grendel kodok khusus jendela;09/03/2024;94500;15;1417500;30%;992250
185543;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;09/03/2024;139000;15;2085000;30%;1459500
185543;mic 0500022;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);09/03/2024;522500;6;3135000;50%;1567500
185543;mic 1500057;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;09/03/2024;238000;6;1428000;40%;856800
185543;mic 1500050;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;09/03/2024;73000;11;803000;40%;481800
