no_Trans;no_item;item;kategori;ket;tgl;harga;qty;jumlah;diskon;total
187000;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);23/10/2023;342000;3;1026000;60%;410400
187001;mic 0101000;lockcase 2;lockcase;lockcase/body kunci;23/10/2023;218000;2;436000;50%;218000
187001;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;23/10/2023;129000;2;258000;50%;129000
187001;mic 2012003;grendel pintu AF;grendel pintu;grendel pintu;23/10/2023;25000;3;75000;40%;45000
187001;mic 1900250;gembok;gembok;gembok;23/10/2023;99500;3;298500;50%;149250
187002;mic 2012083;grendel pintu AA;grendel pintu;grendel pintu;26/10/2023;90500;2;181000;40%;108600
187002;mic 0101000;lockcase 2;lockcase;lockcase/body kunci;26/10/2023;218000;2;436000;50%;218000
187002;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;26/10/2023;129000;2;258000;50%;129000
199451;mic 0101040;lockcase 2;lockcase;lockcase/body kunci;26/10/2023;222000;3;666000;50%;333000
199451;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;26/10/2023;129000;3;387000;50%;193500
199451;mic 0702015;escushion 2;escushion;escushion/cover anak kunci;26/10/2023;15500;1;15500;40%;9300
199452;mic 0506103;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);26/10/2023;342000;4;1368000;60%;547200
199452;mic 0506107;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);26/10/2023;283000;2;566000;50%;283000
199453;mic 0506101;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);29/10/2023;342000;6;2052000;60%;820800
199453;mic 2012083;grendel pintu AA;grendel pintu;grendel pintu;29/10/2023;90500;1;90500;40%;54300
199454;mic 0506101;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);30/10/2023;342000;2;684000;60%;273600
199455;mic 0600507;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;30/10/2023;471000;2;942000;50%;471000
199456;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;31/10/2023;201500;1;201500;PROMO;81000
199457;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;31/10/2023;56500;1;56500;40%;33900
199458;mic 0506100;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);31/10/2023;342000;1;342000;60%;136800
199459;mic 2012067;grendel pintu AA;grendel pintu;grendel pintu;02/11/2023;65000;1;65000;30%;45500
199460;mic 0506105;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);02/11/2023;283000;1;283000;40%;169800
199461;mic 0506102;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);04/11/2023;342000;1;342000;50%;171000
199462;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);05/11/2023;283000;1;283000;40%;169800
199463;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);06/11/2023;283000;1;283000;40%;169800
199464;mic 0103025;anak kunci;anak kunci;anak kunci/cylinder;06/11/2023;129000;1;129000;40%;77400
199464;mic 0101000;lockcase 2;lockcase;lockcase/body kunci;06/11/2023;218000;1;218000;40%;130800
